iter	Passed	Remaining
0	4	976
1	7	772
2	10	686
3	14	706
4	17	683
5	20	653
6	22	629
7	24	595
8	30	638
9	33	629
10	36	620
11	38	608
12	41	601
13	45	600
14	47	588
15	50	576
16	52	567
17	56	569
18	59	569
19	63	573
20	65	562
21	68	556
22	71	553
23	75	550
24	78	552
25	81	544
26	84	544
27	88	544
28	94	556
29	99	561
30	101	553
31	104	550
32	107	545
33	109	535
34	112	529
35	114	522
36	117	517
37	123	524
38	128	530
39	130	523
40	133	517
41	140	529
42	144	529
43	153	545
44	157	543
45	159	534
46	162	528
47	168	532
48	171	527
49	173	520
50	176	514
51	179	509
52	183	509
53	188	509
54	190	502
55	192	493
56	196	492
57	200	490
58	202	485
59	205	480
60	208	474
61	213	474
62	217	472
63	219	467
64	223	464
65	230	466
66	233	463
67	235	457
68	238	453
69	242	450
70	248	450
71	252	448
72	254	443
73	256	436
74	260	434
75	262	428
76	265	423
77	267	418
78	269	413
79	273	409
80	278	409
81	281	405
82	284	401
83	287	396
84	291	394
85	294	390
86	296	385
87	298	380
88	301	375
89	305	373
90	308	369
91	311	365
92	313	360
93	315	355
94	318	352
95	322	349
96	325	345
97	327	341
98	330	336
99	332	332
100	337	330
101	340	327
102	344	324
103	346	320
104	350	316
105	352	312
106	356	310
107	359	305
108	361	301
109	363	297
110	368	295
111	372	292
112	374	288
113	376	284
114	379	280
115	384	278
116	387	274
117	390	271
118	392	267
119	394	263
120	398	260
121	402	257
122	404	253
123	406	249
124	409	245
125	417	244
126	420	241
127	422	237
128	425	234
129	429	231
130	435	229
131	438	225
132	440	222
133	443	218
134	447	215
135	451	212
136	454	208
137	456	205
138	459	201
139	464	199
140	467	195
141	470	192
142	472	188
143	474	184
144	479	181
145	482	178
146	484	174
147	486	171
148	488	167
149	493	164
150	497	161
151	500	157
152	502	154
153	504	150
154	509	147
155	512	144
156	514	140
157	516	137
158	519	133
159	525	131
160	529	128
161	532	124
162	536	121
163	541	118
164	548	116
165	551	112
166	554	109
167	558	106
168	560	102
169	562	99
170	565	95
171	567	92
172	572	89
173	575	86
174	578	82
175	580	79
176	583	75
177	587	72
178	590	69
179	593	65
180	595	62
181	598	59
182	603	56
183	607	52
184	609	49
185	613	46
186	617	42
187	622	39
188	624	36
189	627	33
190	629	29
191	632	26
192	638	23
193	641	19
194	643	16
195	646	13
196	650	9
197	653	6
198	656	3
199	658	0
